DATE,AAA
2010-01-01,5.26
2010-02-01,5.35
2010-03-01,5.27
2010-04-01,5.29
2010-05-01,4.96
2010-06-01,4.88
2010-07-01,4.72
2010-08-01,4.49
2010-09-01,4.53
2010-10-01,4.68
2010-11-01,4.87
2010-12-01,5.02
2011-01-01,5.04
2011-02-01,5.22
2011-03-01,5.13
2011-04-01,5.16
2011-05-01,4.96
2011-06-01,4.99
2011-07-01,4.93
2011-08-01,4.37
2011-09-01,4.09
2011-10-01,3.98
2011-11-01,3.87
2011-12-01,3.93
2012-01-01,3.85
2012-02-01,3.85
2012-03-01,3.99
2012-04-01,3.96
2012-05-01,3.80
2012-06-01,3.64
2012-07-01,3.40
2012-08-01,3.48
2012-09-01,3.49
2012-10-01,3.47
2012-11-01,3.50
2012-12-01,3.65
2013-01-01,3.80
2013-02-01,3.90
2013-03-01,3.93
2013-04-01,3.73
2013-05-01,3.89
2013-06-01,4.27
2013-07-01,4.34
2013-08-01,4.54
2013-09-01,4.64
2013-10-01,4.53
2013-11-01,4.63
2013-12-01,4.62
2014-01-01,4.49
2014-02-01,4.45
2014-03-01,4.38
2014-04-01,4.24
2014-05-01,4.16
2014-06-01,4.25
2014-07-01,4.16
2014-08-01,4.08
2014-09-01,4.11
2014-10-01,3.92
2014-11-01,3.92
2014-12-01,3.79
2015-01-01,3.46
2015-02-01,3.61
2015-03-01,3.64
2015-04-01,3.52
2015-05-01,3.98
2015-06-01,4.19
2015-07-01,4.15
2015-08-01,4.04
2015-09-01,4.07
2015-10-01,3.95
2015-11-01,4.06
2015-12-01,3.97
2016-01-01,4.00
2016-02-01,3.96
2016-03-01,3.82
2016-04-01,3.62
2016-05-01,3.65
2016-06-01,3.50
2016-07-01,3.28
2016-08-01,3.32
2016-09-01,3.41
2016-10-01,3.51
2016-11-01,3.86
2016-12-01,4.06
2017-01-01,3.92
2017-02-01,3.95
2017-03-01,4.01
2017-04-01,3.87
2017-05-01,3.85
2017-06-01,3.68
2017-07-01,3.7
2017-08-01,3.63
2017-09-01,3.63
2017-10-01,3.6
2017-11-01,3.57
2017-12-01,3.51
2018-01-01,3.55
2018-02-01,3.82
2018-03-01,3.87
2018-04-01,3.85
2018-05-01,4.0
2018-06-01,3.96
2018-07-01,3.87
2018-08-01,3.88
2018-09-01,3.98
2018-10-01,4.14
2018-11-01,4.22
2018-12-01,4.02
2019-01-01,3.93
2019-02-01,3.79
2019-03-01,3.77
2019-04-01,3.69
2019-05-01,3.67
2019-06-01,3.42
2019-07-01,3.29
2019-08-01,2.98
2019-09-01,3.03
2019-10-01,3.01
2019-11-01,3.06
2019-12-01,3.01
2020-01-01,2.94
2020-02-01,2.78
2020-03-01,3.02
